Abbot; Charles (1757 - 1829); 1st Baron Colchester,Fellow,14/02/1793
Abbot; John Farr (1756 - 1794),Fellow,20/06/1793
Abdool Karim; Salim Safurdeen,Fellow,28/03/2019
Abeille; Louis Paul (1719 - 1807),Fellow,22/04/1762
Abel; Clarke (c 1780 - 1826),Fellow,11/03/1819
Abel; John Jacob (1857 - 1938),Foreign Member,19/05/1938
Abel; Sir; Frederick Augustus (1827 - 1902),Fellow,7/06/1860
Abell; Christopher,Fellow,28/04/2016
Abercrombie; Michael (1912 - 1979),Fellow,20/03/1958
Abernethy; John (1764 - 1831); Surgeon,Fellow,14/04/1796
Abgali; Mohammed Ben Ali (fl 1726 - 1737),Fellow,24/03/1726
Abney; Sir; William de Wiveleslie (1843 - 1920),Fellow,1/06/1876
Abragam; Anatole,Foreign Member,30/06/1983
Abraham; Sir; Edward Penley (1913 - 1999),Fellow,20/03/1958
Abramsky; Samson,Fellow,27/05/2004
Abrikosov; Alexei Alekseyevich,Foreign Member,10/05/2001
Achtman; Mark,Fellow,30/04/2015
Acland; Sir; Henry Wentworth Dyke (1815 - 1900),Fellow,21/01/1847
Acland; Sir; Thomas Dyke (1809 - 1898),Fellow,20/06/1839
Adair; Gilbert Smithson (1896 - 1979),Fellow,16/03/1939
Adair; James (c 1743 - 1798),Fellow,10/04/1788
Adair; John (? 1647 - 1718),Fellow,30/11/1688
Adair; Robert Alexander Shafto (1811 - 1886); 1st Baron Waveney,Fellow,05/06/1845
Adam; Neil Kensington (1891 - 1973),Fellow,16/05/1935
Adam; Robert (1728 - 1792),Fellow,7/05/1761
Adami; John George (1862 - 1926),Fellow,11/05/1905
Adams; Alfred Rodney,Fellow,14/03/1996
Adams; Andrew Leith (1827 - 1882),Fellow,6/06/1872
Adams; Frank Dawson (1859 - 1942),Fellow,02/05/1907
Adams; Jerry McKee,Fellow,12/03/1992
Adams; John Couch (1819 - 1892); Astronomer,Fellow,07/06/1849
Adams; John Frank (1930 - 1989),Fellow,19/03/1964
Adams; Paul Richard,Fellow,14/03/1991
Adams; Sir; John Bertram (1920 - 1984),Fellow,21/03/1963
Adams; Walter Sydney (1876 - 1956),Foreign Member,27/04/1950
Adams; William Grylls (1836 - 1915),Fellow,6/06/1872
Adanson; Michel (1727 - 1806),Fellow,22/01/1761
Addison; Cyril Clifford (1913 - 1994),Fellow,19/03/1970
Addison; William (1802 - 1881),Fellow,29/01/1846
Adee; Swithin (c 1704 - 1786),Fellow,6/12/1744
Adler; Saul (1895 - 1966),Fellow,21/03/1957
Adrian; Edgar Douglas (1889 - 1977); 1st Baron Adrian of Cambridge; Physiologist,Fellow,03/05/1923
Adrian; Richard Hume (1927 - 1995); 2nd Baron Adrian of Cambridge,Fellow,17/03/1977
Aeppli; Gabriel,Fellow,20/05/2010
Affleck; Ian,Fellow,20/05/2010
Afzelius; Adam (1750 - 1837),Fellow,19/04/1798
Aga; Cassem Algiada (fl 1728 - 1738),Fellow,5/12/1728
Agar-Ellis; George James Welbore (1797 - 1833); 1st Baron Dover,Fellow,7/11/1816
Agar; George Charles (1780 - 1856),Fellow,9/06/1832
Agar; Welbore Ellis (c 1736 - 1805),Fellow,22/03/1781
Agar; Wilfred Eade (1882 - 1951),Fellow,12/05/1921
Agarwal; Girish Saran; Professor,Fellow,15/05/2008
Agarwal; Girish Saran; Professor,Fellow,15/05/2008
Agassiz; Alexander Emmanuel Rodolphe (1835 - 1910),Foreign Member,26/11/1891
Agassiz; Jean Louis Rodolphe (1807 - 1873),Foreign Member,20/12/1838
Aggarwal; Varinder Kumar,Fellow,19/04/2012
Aggleton; John,Fellow,19/04/2012
Aglionby; William (c 1642 - 1705),Fellow,7/11/1667
Agricola; George Andre (1672 - 1738),Fellow,11/01/1699
Ahlers; Cyriacus (fl 1727 - 1756),Fellow,9/03/1727
Ainsworth; Robert Anthony,Fellow,14/05/2009
Airy; Sir; George Biddell (1801 - 1892); Astronomer and Mathematician,Fellow,21/01/1836
Aitchison; James Edward Tierney (1835 - 1898),Fellow,7/06/1883
Aitken; Alexander Craig (1895 - 1967),Fellow,07/05/1936
Aitken; John (1839 - 1919),Fellow,6/06/1889
