MacRobbie; Enid Anne Campbell,Fellow,14/03/1991
MacWilliam; James Ormiston (1808 - 1862),Fellow,9/06/1848
MacWilliam; John Alexander (1857 - 1937),Fellow,11/05/1916
Madden; Paul Anthony,Fellow,10/05/2001
Madden; Sir; Frederick (1801 - 1873),Fellow,2/02/1832
Maddock; Sir; Ieuan (1917 - 1988),Fellow,16/03/1967
Maddox; Sir; John Royden (1925 - 2009),Honorary Fellow,11/05/2000
Maddrell; Simon Hugh Piper,Fellow,19/03/1981
Maddy; John (c 1765 - 1853),Fellow,12/06/1817
Maffei; Scipione (1675 - 1755),Fellow,23/12/1736
Magalotti; Lorenzo (1637 - ? 1711),Fellow,4/05/1709
Magee; William (1766 - 1831); Archbishop of Dublin,Fellow,11/11/1813
Magellan; John Hyacinth de (1722 - 1790),Fellow,21/04/1774
Magnus; Heinrich Gustav (1802 - 1870),Foreign Member,30/04/1863
Magnus; Philip Douglas,Fellow,21/03/1985
Magrath; Sir; George (1775 - 1857),Fellow,24/06/1819
Maguire; Eleanor Anne,Fellow,28/04/2016
Mahadevan; Lakshminarayanan,Fellow,28/04/2016
Mahalanobis; Prasanta Chandra (1893 - 1972),Fellow,22/03/1945
Maheshwari; Panchanan (1904 - 1966),Fellow,18/03/1965
Mahler; Kurt (1903 - 1988),Fellow,18/03/1948
Mahon; Charles (1753 - 1816); 3rd Earl Stanhope,Fellow,19/11/1772
Mahon; Philip Henry (1781 - 1855); 4th Earl Stanhope,Fellow,8/01/1807
Mahon; Philip Henry (1805 - 1875); 5th Earl Stanhope,Fellow,22/03/1827
Mai; Yiu-Wing,Fellow,15/05/2008
Maiden; Joseph Henry (1859 - 1925),Fellow,11/05/1916
Maier; John Paul,Fellow,13/05/1999
Main; Robert (1808 - 1878),Fellow,7/06/1860
Maine; Sir; Henry James Sumner (1822 - 1888),Fellow,4/06/1874
Maini; Philip Kumar,Fellow,30/04/2015
Maini; Sir; Ravinder Nath,Fellow,17/05/2007
Mair; Robert James,Fellow,17/05/2007
Maitland; Ebenezer Fuller (c 1780 - 1858),Fellow,28/03/1829
Maitland; John Gorham (1818 - 1863),Fellow,15/04/1847
Maitland; Samuel Roffey (1792 - 1866),Fellow,18/04/1839
Maitland; William (c 1693 - 1757),Fellow,12/04/1733
Maitlis; Peter Michael,Fellow,15/03/1984
Maizels; Montague (1899 - 1976),Fellow,16/03/1961
Majendie; Ashhurst (1784 - 1867),Fellow,28/06/1821
Majendie; John James (1709 - 1783),Fellow,14/04/1768
Majendie; Lewis (- 1838),Fellow,3/07/1794
Major; Charles Immanuel Forsyth (1843 - 1923); Physician,Fellow,07/05/1908
