Haemstede; Hendrik van (1690 - 1765),Fellow,12/03/1761
Haggitt; Francis (- 1825),Fellow,20/04/1820
Hahn; Erwin Louis (1921 - 2016),Foreign Member,11/05/2000
Hahn; Otto (1879 - 1968),Foreign Member,09/05/1957
Haidinger; Wilhelm Karl Ritter von (1795 - 1871),Foreign Member,20/11/1856
Haig; Robert Wolseley (1830 - 1872),Fellow,6/06/1867
Haigh; Joanna Dorothy,Fellow,02/05/2013
Haighton; John (c 1755 - 1823),Fellow,6/04/1815
Hailstone; John (1759 - 1847),Fellow,7/05/1801
Hairer; Martin,Fellow,01/05/2014
Haistwell; Edward (1658 - 1709),Fellow,9/11/1698
Haldane; Frederick Duncan Michael,Fellow,14/03/1996
Haldane; John Burdon Sanderson (1892 - 1964); Geneticist,Fellow,05/05/1932
Haldane; John Scott (1860 - 1936),Fellow,3/06/1897
Haldane; Richard Burdon (1856 - 1928); Viscount Haldane of Cloan,Statute 12,01/11/1906
Hale; George Ellery (1868 - 1938),Foreign Member,25/03/1909
Hale; Richard (1670 - 1728),Fellow,9/03/1721
Hales; Charles Nicholas (1935 - 2005),Fellow,12/03/1992
Hales; Stephen (1677 - 1761); Physiologist and Inventor,Fellow,13/03/1718
Halford; Sir; Henry (1766 - 1844),Fellow,8/03/1810
Halford; Stephen Edgar,Fellow,27/05/2004
Hall; Alan (1952 - 2015),Fellow,13/05/1999
Hall; Arthur Lewis (1872 - 1955),Fellow,16/05/1935
Hall; Basil (1788 - 1844),Fellow,28/03/1816
Hall; Benjamin (- 1817),Fellow,23/04/1812
Hall; Fayrer (- c 1756),Fellow,30/03/1732
Hall; Henry (fl 1670 - 1692),Fellow,10/02/1676
Hall; Henry Edgar,Fellow,18/03/1982
Hall; Marshall (1790 - 1857),Fellow,5/04/1832
Hall; Michael George,Fellow,11/03/1993
Hall; Peter Gavin (1951 - 2016),Fellow,11/05/2000
Hall; Philip (1904 - 1982),Fellow,19/03/1942
Hall; Sir; Alfred Daniel (1864 - 1942),Fellow,06/05/1909
Hall; Sir; Arnold Alexander (1915 - 2000),Fellow,19/03/1953
Hall; Sir; James (1761 - 1832),Fellow,22/05/1806
Hall; Sir; John (1787 - 1860),Fellow,27/04/1820
Hall; Sir; William Hutcheon (c 1797 - 1878),Fellow,22/04/1847
Hall; Thomas Henry (1796 - 1870),Fellow,22/11/1827
Hall; Wendy; Professor,Fellow,14/05/2009
Hallam; Henry (1777 - 1859),Fellow,8/03/1821
Haller; Albin (1849 - 1925),Foreign Member,05/05/1921
Haller; Albrecht von (1708 - 1777),Fellow,1/11/1739
Halley; Edmond (1656 - ? 1742); Astronomer,Fellow,30/11/1678
Halliburton; William Dobinson (1860 - 1931),Fellow,4/06/1891
Halliday; Alexander Norman,Fellow,11/05/2000
Hallifax; Robert (c 1735 - 1810),Fellow,21/04/1785
Halliwell-Phillipps; James Orchard (1820 - 1889),Fellow,30/05/1839
Hallpike; Charles Skinner (1900 - 1979),Fellow,15/03/1956
Halpern; Jack,Fellow,21/03/1974
Halswell; Edmund (fl 1834),Fellow,10/04/1834
Hamersley; Hugh (- 1790),Fellow,16/12/1779
Hamett; John (- 1847),Fellow,5/02/1835
Hamied; Yusuf Khwaja,Honorary Fellow,28/03/2019
Hamilton; Alexander (1762 - 1824),Fellow,14/01/1808
Hamilton; Andrew David,Fellow,27/05/2004
Hamilton; Anthony (1739 - 1812),Fellow,1/05/1777
Hamilton; Archibald (fl 1795),Fellow,23/04/1795
Hamilton; Charles (1704 - 1786),Fellow,26/03/1747
Hamilton; David James (1849 - 1909),Fellow,07/05/1908
Hamilton; Henry Parr (1794 - 1880),Fellow,17/01/1828
Hamilton; Hugh (1729 - 1805),Fellow,19/02/1761
Hamilton; James (1686 - 1744); 7th Earl of Abercorn,Fellow,10/11/1715
Hamilton; James (1703 - 1743); 5th Duke of Hamilton,Fellow,8/04/1736
Hamilton; John (- 1755),Fellow,13/03/1746
Hamilton; John (fl 1734),Fellow,21/11/1734
Hamilton; Robert (- 1832); -,Fellow,11/02/1819
Hamilton; Sir; David (1663 - 1721); Physician,Fellow,7/04/1708
Hamilton; Sir; William (1730 - 1803),Fellow,6/11/1766
Hamilton; Thomas (1780 - 1858); 9th Earl of Haddington,Fellow,18/04/1844
Hamilton; William Donald (1936 - 2000),Fellow,20/03/1980
Hamilton; William John (1805 - 1867),Fellow,7/06/1855
Hamilton; William Richard (1777 - 1859); Diplomat,Fellow,8/04/1813
Hammerling; Joachim August Wilhelm (1901 - 1980),Foreign Member,23/04/1970
Hammersley; John Michael (1920 - 2004),Fellow,18/03/1976
Hammick; Dalziel Llewellyn (1887 - 1966),Fellow,20/03/1952
Hammond; Anthony (1668 - 1739),Fellow,30/11/1698
Hammond; Bartholomew (- 1776),Fellow,14/03/1754
Hammond; Sir; John (1889 - 1964),Fellow,11/05/1933
Hammond; William (? 1614 - ? 1685),Original Fellow,20/05/1663
Hamond; Sir; Andrew Snape (1738 - 1828),Fellow,2/03/1797
Hampe; Joannes Henricus (1697 - 1777),Fellow,5/02/1730
Hanbury Brown; Robert (1916 - 2002),Fellow,24/03/1960
Hanbury; Daniel (1825 - 1875),Fellow,6/06/1867
Hanbury; William (- 1768),Fellow,2/05/1728
Hanbury-Tracy; Charles Douglas Richard (1840 - 1922); 4th Baron Sudeley,Fellow,22/03/1888
Handfield; John (fl 1816),Fellow,7/03/1816
Handley; Mark,Fellow,28/03/2019
Handy; Nicholas Charles (1941 - 2012),Fellow,15/03/1990
Hanes; Charles Samuel (1903 - 1990),Fellow,19/03/1942
Hankey; Maurice Pascal Alers (1877 - 1963); 1st Baron Hankey of the Chart,Statute 12,18/06/1942
Hanmer; Edward (1758 - 1821),Fellow,23/01/1817
Hanmer; Sir; Thomas (1747 - 1828),Fellow,21/06/1804
Hanna; David Colin,Fellow,14/05/1998
Hannen; James (1821 - 1894); Baron Hannen,Fellow,12/03/1891
Hannisius; David (- 1681),Fellow,30/11/1678
Hannon; Gregory James,Fellow,09/05/2018
Hansen; Jean-Pierre,Fellow,13/05/2002
Hansen; Peter Andreas (1795 - 1874),Foreign Member,4/06/1835
Hanski; Ilkka Aulis (1953 - 2016),Foreign Member,26/05/2005
Hansler; Sir; John Jacob (1788 - 1867),Fellow,18/01/1838
Hanson; Emmeline Jean (1919 - 1973),Fellow,16/03/1967
